ID,What is the rating of the news?,Any visual data required to judge the verdict?,Does the news disseminator know that the news is false?,"If no (Misinformation), how does the disseminator misunderstand the news?","If yes (Disinformation), how was the news created?",What is the purpose of the false news?,What is the indicator clue for the purpose?,Any hidden Context?,To what extent is the news harmful to society?,Category of harm?
243,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda," నందన్ నీలేకని ఇచ్చిన స్టేట్‌మెంట్ తారుమారు చేయబడింది, ఇది పూర్తిగా మోడీ వల్ల అని అతను చెప్పలేదు",none,1,Threat to correct understanding of politics and social events
244,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,No purpose,అధి సరదా కోసం చేసిన చిలిపి వీడియో,none,1,Harmless
245,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,"స్పేస్ నుండి తిరిగి రావడానికి సౌకార్యం ఉంది,అలా అతను చెప్పింది తప్పు",none,1,Prejudice against country and race
246,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Satire / Parody,TRP కోసం తప్పుడు వార్తలు,None,2,Health
247,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose,None,None,1,Harmless
248,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose,None,None,1,Harmless
249,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose,None,None,1,Harmless
250,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose,None,None,1,Harmless
251,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose,None,None,1,Harmless
252,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,No purpose,None,None,1,Not sure
253,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Satire / Parody,అబద్ధాన్ని వ్యంగంగా రాసారు,None,1,Harmless
254,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose,Public Reach,None,1,Threat to correct understanding of politics and social events
255,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Satire / Parody,అబద్ధాన్ని వ్యంగ్యంగా రాశారు,None,1,Threat to correct understanding of politics and social events
256,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,PUblic Reach,None,1,Harmless
257,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,False context,Propaganda,"BJP,YCP కి వ్యతిరేఖంగా తప్పు సమాచరం రాసారు",None,2,Threat to correct understanding of politics and social events
258,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,No purpose,Public Reach,None,1,Harmless
259,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Propaganda,అసత్యాన్ని గొప్పగా చూపించారు,None,1,Threat to correct understanding of politics and social events
260,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,Propaganda,రాహుల్ గాంధీ కి వ్యతిరేఖంగా తప్పు సమాచరం రాసారు,రాహుల్ గాంధీ ప్రతిపక్ష నేత,2,Threat to correct understanding of politics and social events
261,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Satire / Parody,ఈ రెండు వీడియోలు పాతవి,None,2,Confusion and anxiety about society
262,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,Satire / Parody,ఈ క్లెయిమ్ తప్పుదోవ పట్టించే విధంగా ఉంది.,None,1,Harmless
263,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,ప్రగ్యాన్ రోవర్ టైరు గుర్తులకు సంబంధించిన దృశ్యాలను ఇస్రో ఇంకా విడుదల చేయలేదు.,None,1,Threat to correct understanding of politics and social events
264,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,ఇస్రో ఉద్యోగులకు ప్రభుత్వం జీతాలు ఇవ్వడం లేదంటూ సోషల్ మీడియాలో జరుగుతున్న ప్రచారం పూర్తిగా అవాస్తవమని ప్రెస్ ఇన్ఫర్మేషన్ బ్యూరో (PIB) ట్వీట్ ద్వారా స్పష్టం చేసింది.,None,2,Harmless
265,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Satire / Parody," ఆపిల్ గింజలలో అమిగ్డాలిన్ అనే పదార్థం ఉంటుంది, వాటిని నమిలినప్పుడు లేదా అది  జీర్ణమైనప్పుడు హైడ్రోజన్ సైనైడ్ ను విడుదల చేస్తుంది.",None,1,Health
266,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,చంద్రయాన్-3 విజయానికి రహస్యం ‘ఋగ్ వేదం’ అని ఇస్రో చీఫ్ సోమనాథ్,None,1,Threat to correct understanding of politics and social events
267,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,ఇందులో కనిపిస్తున్న జలపాతం మధ్య ప్రదేశ్ రాష్ట్రం,None,1,Harmless
268,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,బనహట్టి పోలీసులు ఈ కేసుకి సంబంధించి ప్రకాష్ రాజ్‌ను ఇంతవరకు అరెస్ట్ చేయలేదు.,None,1,Threat to honor and trust in people and companies
269,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,రజనీష్‌కు ఆపాదిస్తూ చేస్తున్న వాదనలకు పూర్తి వ్యతిరేకంగా అతని ప్రబోధనలు ఉన్నాయి.,None,2,Prejudice against country and race
270,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Propaganda,ఈ way2news గ్రాఫిక్ మార్ఫ్/ఎడిట్ చెయ్యబడింది,None,1,Threat to correct understanding of politics and social events
271,half true & half false,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,ఆర్టికల్ 370 రద్దుకు ఎటువంటి సంబంధం లేద,None,1,Threat to correct understanding of politics and social events
272,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,No purpose,పోస్టులో షేర్ చేసినది ఒక స్క్రిప్టెడ్ వీడియో,None,1,Confusion and anxiety about society
273,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Satire / Parody,ఈ ఫోటో రెడ్దిట్ అనే వెబ్సైటు లోని ఒక బ్రజిలియన్ కమ్యూనిటీ,None,1,Harmless
274,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,Satire / Parody,అంటే ఒక FPO గరిష్టంగా 15 లక్షల ఈక్విటీ పొందాలంటే ఆ FPOలో సుమారు 750 మంది రైతులు ఉండాలి,None,1,Confusion and anxiety about society
275,half true & half false,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,Propaganda,శిలువ విజయవాడలోని గుణదల కొండపై ఉన్న “గుణదల మేరీ మాత చర్చి”కి సంబంధించినది.,None,1,Harmless
276,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,ఇక్కడ మేరీ మాతని 1925 నుంచే ప్రార్థించడం జరుగుతోంది. 1933లో గుణదల కొండపైన శిలువని ఏర్పాటు చేశారు.,None,1,Harmless
277,half true & half false,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,Satire / Parody,తమ హోటల్ ప్రచారం  కోసం రూపొంధించిన ఒక ప్రకటన వీడియో ఇది,None,1,Harmless
278,half true & half false,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,Satire / Parody,పోలీసుల FIRలో మాత్రం మొబైల్ ఫోన్ దొంగతనం ఆరోపణతో వ్యక్తిని కొట్టినట్టు ఉంది,None,2,Confusion and anxiety about society
279,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Satire / Parody,జాతీయ గీతాన్ని పాడి సెషన్ ప్రారంభించడం జరుగుతుంది,None,1,Harmless
280,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,Propaganda," ఈ వీడియో 2018 ఎన్నికల ముందు మద్యప్రదేశ్ రాష్ట్ర కాంగ్రెస్ నేత, కమల్ నాథ్ ముస్లింలతో సమావేశం",None,2,Prejudice against country and race
281,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,No purpose,రాష్త్ర ప్రభుత్వం ఇంకా పంపిణీ ప్రక్రియ మొదలు పెట్టలేదు,None,1,Confusion and anxiety about society
282,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Satire / Parody,కేరళ డాక్టర్ రూ.10000 ఖరీదైన సబ్బు తయారు చేశారని తప్పుగా షేర్ చేస్తున్నారు,None,2,Confusion and anxiety about society
283,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Propaganda," అమెజాన్‌ వెబ్‌సైట్‌ నుండి సేకరించిన ఈ ఫోటోను డిజిటల్‌గా ఎడిట్ చేసి, జగన్ ఫోటోను అతికించారు.",None,2,Threat to correct understanding of politics and social events
284,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda," మార్గంలో బందోబస్తు మరింత పటిష్టం చేస్తున్నట్లు చెప్పారు. ఈ విషయమై మాట్లాడుతూ, 6 గంటలకి ముందే తిరుమల దేవాలయానికి ఉన్న నడక దారుల్ని మూసివేయాలి ",None,2,Threat to honor and trust in people and companies
285,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,ఆ రాష్ట్ర ప్రభుత్వ పాఠశాలలలో ఖురాన్‌ బోధిస్తున్నట్లు,None,2,Prejudice against country and race
286,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,ఈ దృశ్యాలు ఇరాన్‌లోని ఒక సంచార కుటుంబా,None,2,Confusion and anxiety about society
287,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,భారత్ తలసరి జీడీపీ (per capita GDP)ను  బంగ్లాదేశ్‌తో పోల్చుతూ 2025 నాటికి బంగ్లాదేశ్‌ తలసరి జీడీపీ భారత్‌ను మించిపోతుందని అంచనా వేసింది,None,1,Prejudice against country and race
288,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,"పచ్చ రంగులో కనిపిస్తున్నది ఇండియన్ యూనియన్ ముస్లిం లీగ్ (IUML) పార్టీ జెండాలు, పాకిస్థాన్ జాతీయ జెండాలు కావు. ",None,2,Prejudice against country and race
289,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,"కాగా ఈ 40 ఏళ్లలో రాష్ట్రంలో ప్రభుత్వాలు ఏర్పాటు చేసిన కాంగ్రెస్, బీజేపీ, ఎస్పీ మరియు  జనతాదళ్ పార్టీలు ఏవి కూడా ఈ నివేదికను బహిర్గతం చేయలేదు",None,2,Prejudice against country and race
290,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,తెలంగాణ ప్రభుత్వం సర్పంచ్ అభ్యర్థులకు విద్యార్హతలు నిర్దేశించే ఆలోచనలో ఉన్నట్టు కూడా ఎటువంటి రిపోర్ట్స్ లేవు,None,1,Threat to correct understanding of politics and social events
291,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose,None,None,1,Harmless
292,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,"ప్రాజెక్టుకి కేంద్రం ఎలాంటి నిధులు కేటాయించలేదని, తెలంగాణ రాష్ట్ర ప్రభుత్వం పూర్తిగా స్వంత నిధులు, రుణాల",None,1,Threat to correct understanding of politics and social events
293,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Propaganda,పోస్టులో షేర్ చేసినది ఒక ప్రాంక్ వీడియో,None,2,Confusion and anxiety about society
294,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Propaganda,"తెలంగాణ ప్రభుత్వం ఇప్పటికే 9,995 మంది ఇమామ్‌లు/మౌజంలకు నెలకు రూ. 5 వేల చొప్పున గౌరవ వేతనం ఇస్తుండగా, ప్రస్తుత ఉత్తర్వుల ద్వారా మరో 7,005 మందికి వేతనాన్ని అందించనుంది",None,2,Prejudice against country and race
295,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Propaganda,"బీహార్‌లోని సరన్ జిల్లాలో ఒక మహిళపై కొందరు పురుషులు, అసభ్యంగా తాకుతూ దాడి చేసారు. ",None,2,Prejudice against country and race
296,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,నేవిల్లి రాయ్ సింగం అనే వ్యాపారవేత్త చైనా ప్రభుత్వం దగ్గర డబ్బు తీసుకొని చైనా అనుకూల కథనాలను భారత్‌లో ప్రచారం చేస్తున్నాడని,None,1,Prejudice against country and race
297,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,పోస్టులో షేర్ చేసిన వీడియో పాతది,None,2,Harmless
298,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Satire / Parody,కళ్ల గంతలు కట్టుకున్న వ్యక్తికి ముక్కు పక్కన ఉన్న ఖాళీ నుంచి వస్తువు లేదా పుస్తకం కనిపిస్తుంది.,None,1,Harmless
299,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,"ఈ వీడియోలో దాడి చేసిన వ్యక్తి అలాగే, దాడికి గురైన వ్యక్తి ఇద్దరు ముస్లిం",None,1,Prejudice against country and race
300,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Propaganda,ఈ వీడియోని రూపొందించారు. ఈ వీడియోలో నటించిన అమ్మాయి కూడా ముస్లిం,None,1,Harmless
301,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,"భారత ప్రభుత్వం నేర గణాంకాలు, పన్ను సంబంధిత డేటాను మతం ఆధారంగా విడుదల చేయదు",None,2,Prejudice against country and race
302,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,Propaganda,భూమన కరుణాకర్ రెడ్డి ఎన్నికల అఫిడవిట్‌లో తాను క్రిస్టియన్ అని ఎక్కడా ప్రకటించలేదు,None,1,Threat to honor and trust in people and companies
303,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,No purpose,"10 గ్రాములు బంగారం ధర సుమారు ₹59,000 ఉండగా, భూటాన్లో దీని విలువ భారత కరెన్సీ ప్రకారం ₹54,000 గా ఉంది. ",None,1,Harmless
304,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose,None,None,2,Confusion and anxiety about society
305,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,ఇది 2019లో జరిగిన విషయం. కావున పోస్ట్‌లో చేసిన క్లెయిమ్ తప్పుదోవ పట్టించేలాగా ఉంది.,None,2,Threat to correct understanding of politics and social events
306,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,ఈ ఘటనకు RSSతో గాని మరేతర రాజకీయ పార్టీలకు సంబంధం లేదు,None,2,Threat to correct understanding of politics and social events
307,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Satire / Parody,"అక్బరుద్దీన్ ఒవైసీ, జాకీర్ నాయక్ గతంలో హిందువులపైన అనుచిత వ్యాఖ్యలు చేనప్పటికీ పోస్టులో పేర్కొన్న వ్యాఖ్యలు వారు చేసినట్లు ఆధారాలు లేవు.",None,1,Threat to correct understanding of politics and social events
308,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,ఇది 2016 నాటి వీడియో,None,2,Confusion and anxiety about society
309,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,Propaganda,హిందూ వర్గానికి చెందిన వ్యక్తులు పోలీసు స్టేషన్‌కు చేరుకొని ఆ యువకుడిని కొట్టినట్టు తెలిసింది.,None,2,Confusion and anxiety about society
310,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,వీడియోలోని రైలు హైదరాబాద్ నుండి పశ్చిమ బెంగాల్‌కు వెళ్ళడం లేదు,None,1,Prejudice against country and race
311,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,నిజానికి ఆ ఆమె కేంద్ర ప్రభుత్వాన్ని మరియు మోదీని విమర్శించింది,None,1,Threat to correct understanding of politics and social events
312,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,ఈ తీర్పులలో ఎక్కడ కూడా విద్యాసంస్థలు నిర్వహించే హాస్టళ్ల గురించి ప్రస్తావించలేదు,None,1,Harmless
313,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,Propaganda,"ఉత్తరప్రదేశ్ అప్పు ₹7.1 లక్షల కోట్ల రూపాయలుగా ఉండగా, తెలంగాణ అప్పు ₹3.66 లక్షల కోట్లుగా ఉంది.",None,1,Threat to correct understanding of politics and social events
314,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,Propaganda,ఈ లెటర్ 1967లో ఖదావ్మీ ఆపరేషన్ సమయంలో మణిపూర్‌కు పారిపోయి వచ్చిన కుకీలకు భారత ప్రభుత్వం అందించబోయే మానవతా సహాయం,None,3,Prejudice against country and race
315,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,"ఉచిత బస్సు సర్వీసులను వాడుకోవాలంటే బురఖా ధరించి రావాలంటున్నారని,",None,1,Threat to correct understanding of politics and social events
316,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,2006-07 నుంచే ఉత్తర ప్రదేశ్ రెవెన్యూ మిగులుని నమోదు చేసే రాష్ట్రంగా ఉంది,None,1,Threat to correct understanding of politics and social events
317,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,మన్మోహన్ సింగ్ పట్టుకున్న పుష్పగుచ్చం నుండి కింద పడిపోయిన ధారాన్ని టిఎస్ సింగ్ డియో తీస్తుండగా,None,1,Threat to correct understanding of politics and social events
318,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Propaganda,ఆనంద్ స్వరూప్ మహారాజ్ ఇలా అమ్మాయిలతో సన్నిహితంగా ఉంటూ పట్టుబడట్టు ఎటువంటి రిపోర్ట్స్ లేవు,None,1,Threat to honor and trust in people and companies
319,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,Propaganda,ఈ ఘటన అక్టోబర్ 2018లో ఉత్తరప్రదేశ్‌లోని మైన్‌పురి జిల్లాలోని బర్నహల్ ప్రాంతంలో జరిగింది,None,2,Prejudice against country and race
320,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,ఇది బ్రెజిల్ దేశంలో జరిగిన ఒక పాత 2020 నాటి సంఘటన వీడియో.,None,1,Threat to honor and trust in people and companies
321,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,None,None,2,Confusion and anxiety about society
322,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,Satire / Parody,నరేంద్ర మోదీ   తనొక గొప్ప నాయకుడే కాదు మంచి మిత్రుడు కూడా అని రజినీకాంత్ పలు సందర్భాలలో వ్యాఖ్యలు చేశారు.,None,1,Not sure
323,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,చెప్పుకు ఇనుప తీగ చుట్టి ఉన్న ఫోటో అంతకు ముందు నుండే ఇంటర్నెట్‌లో అందుబాటులో ఉంది,None,1,Harmless
324,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Propaganda," పూర్తి వీడియోలో, మణిపూర్ కొండ లోయల్లో ఒకప్పుడు పాపి సాగు జరిగేదని, 2021 తరువాత కుకి కమ్యూనిటి పాపి సాగును పూర్తిగా ఆపేసినట్టు గ్రేస్ హాకీ అనే మహిళ మీడియాకు తెలిపింది.",None,2,Health
325,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,ఇదే విషయం గురించి అడిషనల్ ట్రాన్స్పోర్ట్ కమీషనర్‌ను ఫోన్ ద్వారా సంప్రదించగా,None,1,Harmless
326,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda," ఎన్నికలకు సంబంధించి బీజేపీ టికెట్ రాని వారు ఇలా పార్టీ జెండాలు, దిష్టిబొమ్మలు తగలబెట్టి నిరసన తెలియజేసిన ఘటనకు సంబంధించింది",None,3,Threat to correct understanding of politics and social events
327,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,ఈ ఫోటోలలో నగ్నంగా నిరసన చేస్తున్నది కుకి తెగకు చెందిన మహిళలు కాదు.,None,2,Prejudice against country and race
328,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,No purpose,ఈ రాయితీని పునరుద్ధరిస్తున్నట్లు రైల్వేశాఖ ఎక్కడా వెల్లడించలేదు.,None,1,Harmless
329,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,Propaganda,"ఆర్టికల్ 370 వలె కాకుండా, ఆర్టికల్ 371C రాష్ట్రానికి ప్రత్యేక హోదా, కేంద్ర చట్టాలను అమలు చేయకపోవడం వంటి నిబంధనలను కలిగి ఉండదు.",None,1,Threat to correct understanding of politics and social events
330,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda," మయన్మార్ సైన్యానికి గుఢచర్యం చేస్తుందని అనుమానించి, ఆమెను దారుణంగా హింసించి కాల్చి చంపారు",None,2,Prejudice against country and race
331,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,No purpose,None,None,1,Harmless
332,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,రాజకీయ కోణంతో జరిగిన దాడిని మత కోణంతో షేర్ చేస్తున్నారు.,None,2,Prejudice against country and race
333,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Satire / Parody,"అమెరికా రాయబారి ఎరిక్ గార్సెట్టి “ ఇది భారత్ అంతర్గత వ్యవహారం అని, భారత్ కోరితే తమ సహాయం అందిస్తామని” అన్నాడు.",None,1,Harmless
334,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,"మోదీ ఆర్టికల్ 370ని రద్దు చేయడానికి, ఈ స్కూల్స్‌ నిర్వహణకు ఎటువంటి సంబంధం లేదు.",None,2,Threat to honor and trust in people and companies
335,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Satire / Parody,None,None,1,Harmless
336,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose," అతను ఇటీవల ‘పాంచ్ ధుని తపస్యా’ అనే తపస్సు చేసాడు, అది 41 రోజుల పాటు కొనసాగింది. ",None,1,Harmless
337,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Propaganda,"ఈ ఘటనతో తనకు ఎటువంటి సంబంధం లేదని, తనపై తప్పుడు ప్రచారం చేస్తున్న వారిపై పోలీసులకు ఫిర్యాదు చేస్తానని చిదానంద సింగ్ తెలిపారు.",None,2,Threat to correct understanding of politics and social events
338,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,Satire / Parody,ఉల్లిపాయ తేలు విషానికి విరుగుడుగా పనిచేస్తుందని చెప్పడానికి ఎటువంటి శాస్త్రీయ ఆధారాలు లేవు.,None,1,Health
338,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Satire / Parody,"మనిషి, మతం పుట్టక ముందే 450 కోట్ల ఏళ్ల నుంచే భూ భ్రమణం జరుగుతుంది. ",None,1,Harmless
340,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,Satire / Parody,ఈ వీడియోలో కనిపించిన అబ్బాయి దేవాన్ష్ కాదు; అతని పేరు ఆరవ్.,None,1,Harmless
341,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,ప్రధాన నిందితుడి పేరు హుయిరెం హీరా దాస్ (32).,None,3,Confusion and anxiety about society
342,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Satire / Parody,15 అడుగుల ఎత్తుకి మించి ఉండకుండా చూసుకోవాలని సూచించింది. 2021 మరియు 2022లో గణేష్ నిమజ్జనానికి సంబంధించి ఇచ్చిన ఆదేశాలలో కూడా వినాయక విగ్రహాల ఎత్తుకి సంబంధించి తెలంగాణ హైకోర్టు ఎటువంటి నిర్ధిష్ట నియమాలను జారీ చేయలేదు.,None,1,Harmless
343,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Propaganda,వైరల్ మెసేజ్‌లో పేర్కొన్న తేదీలు 2018 తెలంగాణ రాష్ట్ర అసెంబ్లీ ఎన్నికలకు,None,1,Harmless
344,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,No purpose,మిస్డ్ కాల్ ఇచ్చిన వారి పేరు NRCలో చేర్చబడుతుందని ప్రభుత్వం ఎక్కడా చెప్పలేదు,None,1,Harmless
